,Unnamed: 0,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,clusters
11,11,Cheek,Syypää sun hymyyn (feat. Yasmine Yamajako),0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,2N2QvMYwyYHE8V4KZbbG4i,230413,7
12,12,Flo Rida,Whistle,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,0ltBH1JNzSvQJPjJpvTu9B,225000,0
13,13,Avril Lavigne,Girlfriend,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,5HbCnVLXRyZVxnreOPgJCK,216600,1
14,14,Justin Bieber,Baby,0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,4NFhtFE68cXUrfbne8JE2c,216520,0
15,15,Flo Rida,I Cry,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,5HE3z4Ew7wZ91l3ZOpGKa4,223800,7
16,16,Mohombi,Coconut Tree,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,5L9THbmMKB6ZlHlMgzaXHf,218373,7
17,17,Justin Bieber,One Less Lonely Girl,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,7qUcqYzOtfZe65bednDxmz,229107,0
18,18,Pikku G,Romeo ja Julia (feat. Sophie),0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,0seHreoI3kwp38OlEgLLnT,236200,7
19,19,Swedish House Mafia,Don't You Worry Child - Radio Edit,0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919,5DcPOPPUnNhyPYbTi2aWjR,212841,0
20,20,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343,0
21,21,David Guetta,She Wolf (Falling to Pieces) [feat. Sia],0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,1HfPcQ3c2HyGeID3u1lmCa,222500,1
22,22,Imagine Dragons,Radioactive,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,6Ep6BzIOB9tz3P4sWqiiAB,186813,2
23,23,Flo Rida,Whistle,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653,0
24,24,Calvin Harris,I Need Your Love (feat. Ellie Goulding),0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,05SBRd4fXgn8FX7bf8BCAE,234507,0
25,25,Pitbull,Timber (feat. Ke$ha),0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,3cHyrEgdyYRjgJKSOiOtcS,204160,0
26,26,will.i.am,Scream & Shout,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,2iJuuzV8P9Yz0VSurttIV5,283400,0
27,27,Avicii,Wake Me Up - Radio Edit,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,6g1NlCpW7fgqDnWbCCDrHl,247427,0
28,28,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,4YMqbFcDIFiCBd02PzUBcM,235613,7
29,29,David Guetta,Play Hard (feat. Ne-Yo & Akon),0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,5YPMEOJ58kfl56VHxTgwx3,201000,7
30,30,The Script,Superheroes,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,37sINbJZcFdHFAsVNsPq1i,245467,1
31,31,Flo Rida,I Cry,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,3zrYNl1aMdFrQkcOjKVr5u,223800,7
32,32,OneRepublic,Counting Stars,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,1QzFhzIOW7CyRJLpmq5CM0,257387,7
33,33,PSY,Gangnam Style (강남스타일),0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077,1R2SZUOGJqqBiLuvwKOT2Y,219493,7
34,34,Pitbull,Feel This Moment (feat. Christina Aguilera),0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958,4yOn1TEcfsKHUJCL2h1r8I,229507,0
35,35,FRENSHIP,Capsize,0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,3GBlLqIYgB8zWaeWDNJzdh,237760,2
36,36,Tungevaag,Magical,0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983,43lwHSTEexXRVVeXZtAtfi,218539,1
37,37,Leona Lewis,Bleeding Love,0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058,6LtPIXlIzPOTF8vTecYjRe,262693,4
38,38,Tujamo,Drop That Low (When I Dip),0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,48kF7W23OIcVBsNY5UesuQ,160000,3
39,39,Jonas Blue,Perfect Strangers,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,1CUVN2kn7mW5FjkqXTR2W1,196613,0
40,40,Axwell /\ Ingrosso,Thinking About You,0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001,3eBwnjEe60kDJAMlFg1ewf,204590,0
41,41,Joel Adams,Please Don't Go,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,3cNjgVBKTJ1SvKhunrCdVy,210580,4
42,42,Martin Garrix,Lions in the Wild,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,6F1kPSgdnlSzZRfskE9vaV,211890,2
43,43,Flume,Never Be Like You,0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247,12REd1n8PeiHHWOh066tpr,233337,4
44,44,Shawn Mendes,Treat You Better,0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823,53B2XmmjJ9rriW1qciMBeX,187973,7
45,45,Twenty One Pilots,Heathens,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,6i0V12jOa3mr6uu4WYhUBr,195920,4
46,46,Adele,Send My Love (To Your New Lover),0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,3KZcrZ36LW9RnChK1iIkth,223079,7
47,47,Adele,When We Were Young,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,0cj2joJcY6b4XSRfj2eZOl,290900,1
48,48,Adele,Someone Like You,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,6QPKYGnAW9QozVz2dSWqRg,285240,6
49,49,Adele,Set Fire to the Rain,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,5PKWUDfQFtc5qqo8cs1gQp,242974,7
50,50,OneRepublic,Apologize,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,1NrJYpdAi7uosDRPmSYrsG,208107,0
51,51,Juju,Onnelliseksi,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,6hvNLxrHBdR1qzdrKasCPE,213013,4
52,52,Ed Sheeran,I See Fire,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,5pY3ovFxbvAg7reGZjJQSp,299147,6
53,53,Snow Patrol,Chasing Cars,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,11bD1JtSjlIgKgZG2134DZ,267933,4
54,54,A Great Big World,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,6Vc5wAMmXdKIAM7WUoEb7N,229400,6
55,55,Wiz Khalifa,Go Hard or Go Home,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,2QJnTfMpNG05KFf2E3gVIJ,232773,1
56,56,Arttu Lindeman,Läikkyy,0.669,0.846,4,-3.976,0,0.156,0.15,0.0,0.154,0.793,150.014,1gou2U6ZcLKXLBC3MYVtEu,206200,7
57,57,Anssi Kela,1972,0.542,0.644,3,-6.196,1,0.0961,0.0219,0.0,0.138,0.545,153.972,4htrHrq1AB38vprDEha0hv,249560,1
58,58,Britney Spears,Toxic,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,26nr9XnFCYWxBTIP7HyWXg,198813,7
59,59,Mikael Gabriel,Älä herätä mua unesta,0.656,0.675,1,-7.455,1,0.0457,0.119,0.0,0.0925,0.353,126.889,02RaNOB5CIiXAhgvLE6Xp0,204573,0
60,60,Aste,Spaceman,0.737,0.95,6,-2.522,0,0.0611,0.017,0.0,0.233,0.968,127.0,3PfG2rMOU9HglycfbIC4yM,197453,7
61,61,Aste,Only One,0.578,0.839,2,-3.806,1,0.0755,0.000649,0.0,0.0708,0.509,121.995,1ttYNQjND5nBtUnpNMlLQQ,240280,0
62,62,Selena Gomez,Come & Get It,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,5U2m76qAMdr3gXI0g6ptlG,231987,1
63,63,OneRepublic,Wherever I Go,0.543,0.691,10,-6.403,0,0.0425,0.107,0.0,0.218,0.335,100.014,7kUtJKGZzLNgIkq1Galkt0,170213,7
64,64,Robin Schulz,Heatwave (feat. Akon),0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,2KMJ5CoxY4ECG9TZyNWmpv,187126,7
65,65,Teflon Brothers,Hubba Bubba,0.68,0.847,11,-6.439,1,0.0353,0.000755,0.0,0.159,0.792,136.039,2hQVEDz4hG8RGmzSPKTDrT,207394,0
66,66,AlunaGeorge,I'm In Control,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,16NOHRm0OEjmg55OZAxVmV,209425,7
67,67,Dimitri Vegas & Like Mike,Arcade - Radio Edit,0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,7FKjWBgGgCGYoRRDIhp4bR,225000,3
68,68,Sean Paul,She Doesn't Mind,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4odiyU3myG29Ld0wurMfE8,227787,7
69,69,Bobby Burns,Satellites - Radio Edit,0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,3peFUAm5l0kWIJXy7Q8GYP,232519,0
70,70,Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,34NNeV9jfgNgaALgUr0u9V,205440,1
71,71,The Lonely Island,I Just Had Sex,0.621,0.802,6,-4.735,1,0.118,0.0235,0.0,0.108,0.819,167.976,1OmxpKVSvn0LGcM3SQS4OV,168200,1
72,72,Scarlet,Angels Unite (Radio Edit),0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,3UFoVEy7B2yqUMB21yyJm2,216566,1
73,73,Filip Jenven,Gypsy Drop - Radio Edit,0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,11xsm79HwpWV1C1lMXoVo9,180502,3
74,74,Scooter,Bigroom Blitz - Radio Mix,0.713,0.909,3,-4.274,1,0.0306,0.00303,0.000706,0.699,0.438,132.022,1Xcww2gldd5hN6WvGBsbFT,187273,2
75,75,Showtek,Satisfied (feat. VASSY) - Original Mix,0.611,0.941,0,-1.958,1,0.0491,0.00326,0.0205,0.345,0.589,128.002,6LU68pNqUguPOsjPIaJwo6,258743,0
76,76,Sander van Doorn,Gold Skies - Original Mix,0.564,0.823,9,-6.316,0,0.046,0.00406,0.0716,0.684,0.221,128.018,4zXQSm5XIkcn5qtmtbwO9O,329067,2
77,77,John Martin,Love Louder - Style Of Eye Remix,0.56,0.854,1,-4.878,1,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,2WEiz65hkQPlThgncVH34T,373650,2
78,78,Martin Garrix,Forbidden Voices,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,2BF1X5nkYYSb0AUTRaGkDm,230635,1
79,79,Anders Nilsen,Salsa Tequila,0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966,4WRjqQ6sx5qIcddaIxNTfF,199805,0
80,80,Basshunter,All I Ever Wanted - Radio Edit,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,3uoqlATyV5IWOhy0LBF7k1,176453,0
81,81,David Guetta,Memories (feat. Kid Cudi),0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4iMu9le3ytNO3tvgVpQANx,210093,1
82,82,Contiez,Trumpsta (Djuro Remix) [feat. Treyy G],0.973,0.587,1,-7.014,1,0.242,0.00207,0.38,0.257,0.195,128.0,3YcXXjmC9cM5Y2x3jUps0p,258507,3
83,83,ItaloBrothers,Moonlight Shadow,0.577,0.952,0,-5.172,1,0.0404,0.0529,0.00603,0.31,0.808,150.02,6T9vhWadqtG3J3jfYf8kcI,186880,0
84,84,ItaloBrothers,Colours Of The Rainbow,0.616,0.946,0,-6.392,0,0.059,0.00341,0.000188,0.168,0.744,140.045,4fWcyB6ik13xv6QFmORi0H,210240,7
85,85,Evelina,Honey,0.68,0.633,3,-5.236,0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,6d0eTPJ3JZTwOAwLdl0hOJ,221633,7
86,86,Teflon Brothers,Pämppää,0.8,0.887,9,-5.038,1,0.0632,0.113,0.0,0.154,0.526,109.988,6xQjgKUjjKgLDfOibSRyRM,191991,0
87,87,Coldplay,Viva La Vida,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,242373,1
88,88,OneRepublic,If I Lose Myself,0.485,0.699,2,-6.017,1,0.0479,0.096,0.0,0.109,0.242,140.096,0ett0qCHbl0vdSRFhRSkMc,241560,1
89,89,WSTRN,In2,0.553,0.662,8,-6.454,0,0.129,0.342,0.0,0.141,0.561,98.368,3WEmAizxrtQwXEJQRwCrK1,242121,7
90,90,Hurts,Somebody to Die For,0.426,0.599,11,-7.737,1,0.0282,0.0198,0.00142,0.366,0.102,91.995,0GDz2tPdh6FbxJxM75SQB4,275547,4
91,91,A.R. Rahman,Jai Ho! (You Are My Destiny),0.66,0.936,11,-3.931,1,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,1domCrjxwdTsPWqVn2Ivc0,222413,0
92,92,Nicole Scherzinger,Don't Hold Your Breath,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955,7pAq1IXYZpL42HchCminu6,197440,7
93,93,The Pussycat Dolls,When I Grow Up,0.686,0.681,11,-5.761,0,0.0471,0.00185,0.0,0.395,0.366,118.472,7hFXQCDPgHhZQrC3vSM1o4,245680,7
94,94,Black Eyed Peas,I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4vp2J1l5RD4gMZwGFLfRAu,289133,2
95,95,Beyoncé,Halo,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4JehYebiI9JE8sR8MisGVb,261640,4
96,96,Justin Timberlake,Cry Me a River,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,7Lf7oSEVdzZqTA0kEDSlS5,288333,4
97,97,The Offspring,"You're Gonna Go Far, Kid",0.55,0.918,9,-3.159,0,0.0682,0.00466,0.0,0.206,0.563,126.083,1FMm3wG5WOhi7js35KR7Ea,177827,7
98,98,P!nk,So What,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,6qYGUxPjQt5PJtWdiNppZx,215160,1
99,99,Shakira,"Whenever, Wherever",0.793,0.831,1,-4.861,0,0.0405,0.264,7.03e-06,0.207,0.865,107.645,0RJWhctsc1G1Hg3Ov2th7x,197027,7
100,100,Leona Lewis,Bleeding Love,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,7wZUrN8oemZfsEd1CGkbXE,262467,4
101,101,Kelis,Milkshake,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,2cMTIlktg3M9mXYqCPqw1J,182627,0
102,102,Kelly Clarkson,Stronger (What Doesn't Kill You),0.555,0.923,0,-5.908,1,0.0482,0.0411,0.0,0.112,0.682,116.012,35a4Kzyo9XY4FI9FaSIzzF,221920,0
103,103,Vanessa Hudgens,Say OK,0.471,0.696,7,-7.176,1,0.0468,0.00673,0.000955,0.0884,0.543,125.026,5cfPxiul0cdhPYD2uzuQSg,223867,1
104,104,Emily Osment,Lovesick,0.611,0.715,0,-5.621,0,0.0604,0.00414,0.0,0.353,0.784,129.88,2w55BLEMG97Smym2V6itnx,204813,7
105,105,Hannah Montana,Wherever I Go,0.538,0.621,5,-3.358,1,0.027,0.0383,0.0,0.0976,0.372,79.024,3lWEKwBNo9IbE9pdKC5NU6,212853,4
106,106,Hannah Montana,I'll Always Remember You,0.418,0.721,8,-2.736,1,0.0385,0.0485,0.0,0.0986,0.234,144.06,0tldYKX9sQsDs41lJxdcp8,233467,1
107,107,Selena Gomez & The Scene,A Year Without Rain,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,0lYS1tJg3r6ATe9bRPB0Hu,234347,7
108,108,Justin Bieber,Beauty And A Beat,0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97,0KTsmr6JOuhxZuiXUha1xC,227987,0
109,109,Pitbull,International Love (feat. Chris Brown),0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,62zFEHfAYl5kdHYOivj4BC,227280,7
110,110,Redrama,Clouds (feat. A.J. McLean),0.772,0.851,7,-4.343,1,0.09,0.0149,0.0,0.136,0.27,91.034,1RK5DiXAYnRZk1fEjnytdp,232013,0
111,111,David Guetta,Turn Me On (feat. Nicki Minaj),0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,6T27IN7Ai94BeDv6PPCmoC,199680,2
112,112,Snoop Dogg,Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,7LpT54RUvN0IvDGIxiwHwS,196453,0
113,113,Petri Nygård,Märkää,0.903,0.864,1,-3.763,1,0.0358,0.0212,0.0,0.511,0.961,120.06,6wPsHct4yJfplE3nA9qvac,251160,2
114,114,Petri Nygård,Selvä päivä - feat. Lord Est,0.801,0.726,6,-5.567,0,0.0443,0.0412,0.0,0.317,0.489,113.98,107ct6t9kseeQWTyeRgcdO,211560,7
115,115,The Script,Good Ol' Days,0.549,0.945,7,-4.351,1,0.0329,0.031,0.0,0.114,0.565,93.998,629MXzH7txguTIePdNXOWY,263920,0
116,116,Dzeko & Torres,Home,0.577,0.886,2,-3.033,1,0.0666,0.00562,0.0,0.111,0.616,127.957,12HmJ4Q5ksOGgaqKgZLvdE,174335,0
117,117,Laura Närhi,Supersankari,0.428,0.59,1,-6.187,1,0.0404,0.102,3.39e-06,0.108,0.305,120.38,3yXMgnyHN4o5bL68RfWRpC,232760,4
118,118,Martin Garrix,Don't Look Down (feat. Usher),0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,5M9jOReAKGZ2AttVefFjTY,223140,0
119,119,Cash Cash,Overtime - Vicetone Remix,0.721,0.887,11,-3.095,0,0.166,0.00973,0.00054,0.61,0.678,125.987,4qwucEZidHAAkcN0BemkoU,357634,2
120,120,Benjamin,Unbreakable,0.498,0.566,1,-7.381,1,0.0304,0.00587,0.0,0.156,0.267,141.872,5dajiBFiQxyOkmFglyTkvg,201122,1
121,121,The Script,Moon Boots,0.482,0.872,2,-4.813,1,0.0469,0.000518,0.0,0.0935,0.532,152.888,1MkiqU0AvKhjOZdL6I7NQS,250333,1
122,122,The Script,If You Could See Me Now,0.602,0.758,0,-6.864,1,0.0399,0.00569,0.0,0.145,0.368,100.017,6EzSy7WxNCazx3csu7lxdV,219547,0
123,123,Britney Spears,Everytime - Hi-Bias Radio Remix,0.524,0.902,0,-4.655,0,0.0315,0.00994,0.0018,0.094,0.657,128.009,4b8ssS2AaEUIzOCDlH0aOT,208813,7
124,124,Britney Spears,Gimme More,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,6ic8OlLUNEATToEFU3xmaH,251240,0
125,125,Katy Perry,E.T.,0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684,36ux3YuUsGTWPT8fXclS45,229573,2
126,126,Kesha,We R Who We R,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982,5jaz6aiRknA63NIYWdbr2O,204827,0
127,127,Maroon 5,The Man Who Never Lied,0.63,0.842,2,-5.946,1,0.0355,0.000342,0.0,0.0711,0.826,139.943,6tWkTeLF2WmjTA1cyS2QEp,205187,0
128,128,Happoradio,Che Guevara,0.583,0.879,10,-4.171,0,0.0367,0.0745,0.0,0.187,0.46,139.943,5gsQegOEB7admETkL6ckUL,229760,7
129,129,Maroon 5,Maps,0.736,0.725,1,-5.498,0,0.029,0.0194,0.0,0.081,0.883,119.992,7xEMGs0GbdfLwVw0Bn5D9H,190667,7
130,130,Olly Murs,Troublemaker (feat. Flo Rida),0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,4jOtC832PyIXlCVPRElfQu,185587,7
131,131,Tinie Tempah,Written in the Stars (feat. Eric Turner),0.656,0.931,7,-4.188,1,0.0981,0.0613,0.0,0.219,0.534,91.881,5m5TRf7ggoguXtcXQGprN4,207653,0
132,132,Evanescence,Bring Me To Life,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892,646J2jOtUe4Jflrmh6JFjN,235893,1
133,133,Madonna,Hung Up,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992,70VjMtwhm3Q2HBQeJnPfmh,336880,4
134,134,Bon Jovi,It's My Life,0.546,0.931,0,-3.025,0,0.0507,0.0295,1.67e-05,0.366,0.527,120.01,4TmGtGkkmaoXRCvpOwDJoO,224600,2
135,135,Katy Perry,I Kissed A Girl,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,14iN3o8ptQ8cFVZTEmyQRV,179640,0
136,136,Sugababes,About You Now,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,1ctdfJSzp6qF2iDAVdDrfl,212400,2
137,137,Hardwell,Birds Fly (feat. Mr. Probz),0.566,0.675,3,-4.602,0,0.0331,0.0611,0.0,0.642,0.11,122.553,2xScjew1nGldhk7eM2qsCv,207805,2
138,138,Softengine,Yellow House,0.577,0.845,7,-6.38,0,0.0379,0.00692,0.0,0.223,0.345,115.001,0utQYjH6sVVaqnBQFj4R4J,213133,7
139,139,Janne Ordén,Platinaa,0.633,0.695,10,-6.789,0,0.146,0.0277,0.0,0.338,0.555,165.244,6MDl3PCIz6h6ImkUpqurvE,183040,1
140,140,MAGIC!,Rude,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,6RtPijgfPKROxEzTHNRiDp,224840,0
141,141,Teflon Brothers,Maradona (kesä ´86),0.667,0.599,5,-6.827,0,0.0486,0.012,0.0,0.12,0.681,120.038,7LpqSvZvaRtcUcSKas6dYK,227267,7
142,142,Maroon 5,Maps,0.743,0.717,1,-5.521,0,0.0299,0.0223,0.0,0.0678,0.88,120.025,6chdRBWviHlm7JAtwgflBP,189840,7
143,143,Nikke Ankara,Perjantai 13.,0.526,0.84,9,-4.325,0,0.195,0.145,0.0,0.13,0.608,79.642,74JdLqtaJtDM6I6p282Ahh,196280,7
144,144,Rihanna,S&M Remix,0.819,0.796,1,-3.397,1,0.0546,0.0609,0.0,0.0647,0.886,127.931,3rqe57UvA8vxlzRuiAx4P5,257293,0
145,145,Alexandra Stan,Mr. Saxobeat - Radio Edit,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.000238,0.14,0.781,127.004,7e320tQuzm28o3vpHMSgjz,195105,7
146,146,MARINA,How to Be a Heartbreaker,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,1RDNH7V9Odx6gOZJ4Siehj,221493,7
147,147,Rihanna,We Found Love,0.755,0.74,1,-4.951,1,0.0407,0.0225,0.00139,0.124,0.609,127.98,14fmbvjYLqRZEXz1VZdM2M,215760,0
148,148,Enrique Iglesias,Heartbeat,0.568,0.892,10,-3.205,1,0.101,0.0258,0.0,0.302,0.39,129.997,6x2w38zlkGYihidW7BpJ4m,256080,1
149,149,Enrique Iglesias,I Like It,0.647,0.943,10,-2.866,0,0.0849,0.0202,0.0,0.0607,0.707,129.006,6wo5g4E5BjUMW4qKUo50Mt,232187,7
